description,category
Rate for rainwater harvesting pipe and filter for storage as per approved make,PHE
Supply and erection of swirl diffuser for lobby including labour and material,HVAC
Supplying and fixing intercom system IP based for hotel as per IS standards,Other
Supplying and laying fire hydrant yard valve 150mm as per drawing,Fire
Providing and fixing servo stabilizer 10KVA for laboratory with warranty,Electrical
Rate for aluminium return air grille 1200x300mm with warranty,HVAC
Supplying and laying fire alarm control panel 8 zone intelligent with all fittings,Fire
Providing gravel filter bed for rainwater harvesting with all fittings,PHE
Supply and erection of bath shower diverter with brass body as per drawing,Plumbing
Supply and fixing of EV charging station 7.2KW DC fast as per IS standards,Other
Providing and installing expansion vessel 300L for condenser water system with all fittings,HVAC
Supply and erection of industrial plug and socket 63A 3 pin as per drawing,Electrical
Supplying ceiling mounted transfer grille 225x225mm including testing and commissioning,HVAC
Installation of jockey pump 10HP for sprinkler system including testing and commissioning,Fire
Supply and erection of DG set 250KVA silent with exhaust system including all accessories,Other
Providing overhead water tank in RCC M20 grade 15000L capacity as directed by engineer,Civil
Supply and fixing of gypsum board partition 75mm with glass wool infill as per specification,Civil
Providing and installing modular switch and socket 10A with gang box with all fittings,Electrical
Procurement and installation of sludge pump 5HP peristaltic as per specification,PHE
Supplying and laying electronic fan regulator for ceiling fan as per IS standards,Electrical
Supply and erection of industrial plug and socket 32A 5 pin as per IS standards,Electrical
Supplying and fixing fire exit signage self-luminous running man as per drawing,Fire
Installation and commissioning of standpipe system 65mm for high rise including labour and material,Fire
Providing and fixing fire door closer overhead for exit door,Fire
Installation and commissioning of distribution board 6 way DP with MCB and RCCB with warranty,Electrical
Providing and fixing air washer unit 1000 CFM for humidification including labour and material,HVAC
Procurement and installation of strainer valve 65mm T type for cooling tower as directed by engineer,Plumbing
Providing and installing fire alarm sounder electromechanical 95dB including testing and commissioning,Fire
Installation of exhaust air fan inline type 900mm with motor as per IS standards,HVAC
Supplying and fixing canvas duct connector for thermal expansion as per specification,HVAC
Providing and installing metal detector walk through for entrance including all accessories,Other
Rate for children WC ceramic with foot rest with all fittings,Plumbing
Supplying and laying FR PVC insulated wire 6 sqmm in cable tray,Electrical
Providing and fixing TV outlet point with fibre cabling with all fittings,Electrical
Providing and fixing manhole cover 750x750mm heavy duty CI complete in all respects,PHE
Supplying and fixing CI manhole frame and cover 750x750mm heavy duty as per approved make,PHE
Providing and installing waterproof membrane for bathroom with liquid membrane including all accessories,Civil
Providing and fixing fire hydrant hose 63mm 30m percolating including testing and commissioning,Fire
Supplying and fixing fire suppression foam system for server room including labour and material,Fire
Supplying and laying pillar cock short body for garden tap,Plumbing
Providing digital energy meter 3 phase with RS485 communication as per specification,Electrical
Providing and fixing thermal insulation 13mm nitrile rubber for chilled water pipe including testing and commissioning,HVAC
Supply and erection of fire hydrant hose 50mm 20m synthetic,Fire
Supplying and fixing exposed flush cistern for European WC including labour and material,Plumbing
Installation and commissioning of thermostat mechanical for zone control,HVAC
Supplying and fixing return air duct aluminium with filter including all accessories,HVAC
Installation of refrigerant leak detector for cold room system with warranty,HVAC
Supply and erection of weatherproof switch socket IP55 rated as directed by engineer,Electrical
Supply and installation of bottle trap 40mm PVC for kitchen sink as per IS standards,Plumbing
Supplying and fixing exterior weather coat paint 2 coats for parapet as per IS standards,Civil
Supply and installation of centrifugal pump 5HP for water transfer with all fittings,PHE
Supply and fixing of air washer unit 5000 CFM for dust removal as per drawing,HVAC
Supply and installation of plastering 10mm thick cement sand mortar for internal walls as per IS standards,Civil
Supply and installation of water treatment system for cooling tower with warranty,HVAC
Providing and laying automatic gate bollard for parking including testing and commissioning,Other
Installation of cooling tower RCC natural draft 100TR capacity complete in all respects,HVAC
Supplying and fixing package AC unit 5TR rooftop with economizer,HVAC
Installation of fire door closer hydraulic for exit door including testing and commissioning,Fire
Supply and erection of swirl diffuser 900mm with warranty,HVAC
Rate for linear heat detection cable for tunnel including labour and material,Fire
Installation and commissioning of soap dish holder SS wall mounted as per drawing,Plumbing
Providing VRV branch selector box for wing control as per approved make,HVAC
Supply and erection of fire survival cable 2.5 sqmm 4 core including labour and material,Electrical
Rate for thermal insulation 50mm glass wool for duct as per specification,HVAC
Rate for fire alarm repeater panel for fire command center complete in all respects,Fire
Providing and fixing pillar cock short body for garden tap as per approved make,Plumbing
Providing and fixing exhaust fan 250mm with wiring and switch with all fittings,Electrical
Supplying and laying monoblock water supply pump 1.5HP as per IS standards,Plumbing
Procurement and installation of spike guard 6 way with surge protection with warranty,Electrical
Supplying and laying split AC unit 2 ton 5 star dual inverter complete in all respects,HVAC
